week,slot_number,brand,recipe_title,person_size,calories,grams
2026-W21,15,HelloFresh,Chorizo and Purple Sprouting Broccoli Lentil Bowl,2,2801,680.5
2026-W21,16,HelloFresh,Crispy Chicken and Herby Jersey Royal Potato Salad,2,2798,588
2026-W21,17,HelloFresh,Thai Red Coconut Beef Meatball Curry,2,3267,766.8
2026-W21,18,HelloFresh,Pan-Fried Gammon and Charred Pineapple Rings,2,2635,652.5
2026-W21,19,HelloFresh,Purple Sprouting Broccoli & Spiced Bean Bowl,2,2816,597.8
2026-W21,20,HelloFresh,"Spring Veg, Chickpea and Pickled Rhubarb Salad",2,3427,687
2026-W21,21,HelloFresh,Chả Cá Thăng Long Inspired Salmon,2,3195,464.2
2026-W21,22,HelloFresh,Belgian Style Haddock in Caper Meunière Sauce,2,2618,523
2026-W21,23,HelloFresh,Chipotle-Mango Prawn Bulgur Bowl,2,2107,588.8
2026-W21,24,HelloFresh,Thai Style Coconut Prawn Noodle Soup,2,2350,522
2026-W21,25,HelloFresh,Homemade Cheesy Fishcakes,2,3187,549.8
2026-W21,26,HelloFresh,"Sausage & Apple Meatballs, Mash and Gravy",2,2932,689
2026-W21,27,HelloFresh,Easy Peasy Greek Style Chicken Bowl,2,4651,579.5
2026-W21,28,HelloFresh,15 Minute Thai Green Style Chicken Curry,2,2653,433.2
2026-W21,29,HelloFresh,Super Quick Chorizo and Tomato Spaghetti,2,2951,316.3
2026-W21,30,HelloFresh,Speedy Sausage Linguine,2,3612,537.5
2026-W21,31,HelloFresh,Honey Glazed Sausage Bake and Bravas Inspired Sauce,2,2954,663.9
2026-W21,32,HelloFresh,Fuss-Free Cheesy Marinara Chicken Bake,2,2256,561.4
2026-W21,33,HelloFresh,Fuss-Free Teriyaki Chicken Traybake,2,2501,515.2
2026-W21,34,HelloFresh,21 Day Aged Rump Steak and Caesar Style Salad,2,2199,485.8
2026-W21,35,HelloFresh,"Quick Chicken, Pea and Spinach Korma",2,3432,468.5
2026-W21,36,HelloFresh,Chermoula Chicken and Sour Cherry Cabbage Bulgur,2,3649,557.5
2026-W21,37,HelloFresh,Dry Laksa Goreng Style Chicken Noodles,2,4081,577
2026-W21,38,HelloFresh,Quick Hot Honey Peri Peri Chicken and Pepper Tacos,2,3932,619.7
2026-W21,39,HelloFresh,Speedy Porky Penne,2,3645,578.9
2026-W21,40,HelloFresh,"Lamb, Sweet Potato and Lentil Rogan Josh",2,3594,610.8
2026-W21,41,HelloFresh,Quick Brazilian Style Roast Chicken and Chickpeas,2,3288,788.3
2026-W21,42,HelloFresh,"Mozzarella, Charred Courgette and Tomato Pizza",2,4734,807.4
2026-W21,43,HelloFresh,Mumbai Chilli Cheese Inspired Toastie,2,3418,476
2026-W21,44,HelloFresh,One Pot Creamy Leek and Bean Pesto Soup,2,3151,579.3
2026-W21,45,HelloFresh,Spicy Cajun Tomato & Super Greens Rigatoni,2,2952,390.7
2026-W21,46,HelloFresh,Creamy Chickpea Korma,2,3733,532.5
2026-W21,47,HelloFresh,Chipotle Lentil and Mushroom Enchiladas,2,3139,502
2026-W21,48,HelloFresh,Pan-Fried Halloumi and Pesto Drizzle,2,2961,599
2026-W21,49,HelloFresh,Charred Cabbage and Thai Style Nam Jim Dressing,2,2870,605.8
2026-W21,50,HelloFresh,"Spiced Tofu, Sweet Potato and Avocado Salad",2,3360,660.8
2026-W21,51,HelloFresh,Pumpkin and Sage Girasoli in Veggie 'Nduja Sauce,2,2177,427
2026-W21,52,HelloFresh,Mozzarella and Roasted Butternut Squash Panzanella,2,2516,598.4
2026-W21,53,HelloFresh,Hearty Ratatouille Inspired Orzo,2,2544,704.2
2026-W21,54,HelloFresh,Speedy Spiced Chicken Udon,2,2106,464.3
2026-W21,55,HelloFresh,Creamy Spiced Lentil and Chicken Curry,2,2392,525
2026-W21,56,HelloFresh,Speedy Italian Style Pesto Chicken,2,2287,594.5
2026-W21,57,HelloFresh,Crispy Chicken Thai Green Style Caesar Salad,2,2470,465
2026-W21,58,HelloFresh,Family Favourite Thyme Roasted Chicken,2,2345,709.8
2026-W21,59,HelloFresh,Beef and Beany Quesadillas,2,2401,414
2026-W21,60,HelloFresh,"Bacon, Bean and Red Wine Cassoulet",2,2379,661
2026-W21,61,HelloFresh,Tandoori Chicken Traybake,2,2303,546.3
2026-W21,62,HelloFresh,Basa and Sweet Onion Green Tikka Masala,2,2723,692.3
2026-W21,63,HelloFresh,Confit Duck Leg and Caramelised Leek Jus,2,3493,945.5
2026-W21,64,HelloFresh,Sticky Mustard Pork Belly and Red Wine Jus,2,3365,675
2026-W21,65,HelloFresh,Peri Peri Chicken Burger and Chips,2,4420,656.3
2026-W21,66,HelloFresh,Herby Creamy Tomato Chicken Penne,2,2920,495.4
2026-W21,67,HelloFresh,Sticky Honey Indonesian Style Beef Rice Bowl,2,2555,409.3
2026-W21,68,HelloFresh,Tex-Mex Style Pork Mince Tacos,2,3944,542.8
2026-W21,69,HelloFresh,Chermoula Lamb Koftas and Balsamic Fig Sauce,2,2356,526.3
2026-W21,70,HelloFresh,Speedy Chipotle Bean Chilli,2,3138,667.5
2026-W21,71,HelloFresh,Presto Pesto Pea Rigatoni,2,3207,418.5
2026-W21,72,HelloFresh,Sirloin Steak in Café de Paris Style Tarragon Sauce,2,3387,661.5
2026-W21,73,HelloFresh,"Creamy Lemon, King Prawn and Bacon Linguine",2,3127,539.5
2026-W21,74,HelloFresh,Pulled Beef Chipotle Chilli Hoagie,2,4324,882
2026-W21,75,HelloFresh,Walnut Crusted Lamb Steak and Red Wine Jus,2,3764,719.4
2026-W21,76,HelloFresh,Sea Bream and Lemon-Caper Butter Sauce,2,2157,503.5
2026-W21,77,HelloFresh,Thai Style Pulled Chicken Bao,2,3128,720
2026-W21,78,HelloFresh,Chicken and Halloumi Shawarma,2,5097,744.3
2026-W21,79,HelloFresh,BBQ Jerk Style Chicken and Mango Glazed Sausages,2,3989,771
2026-W21,80,HelloFresh,Loaded Chermoula Spiced Whole Roasted Cauliflower,2,4346,891.3
2026-W22,1,HelloFresh,Indonesian Style Spiced Chicken Noodles,2,2214,423.8
2026-W22,2,HelloFresh,BBQ Beef and Pork Cheeseburger,2,3855,560.8
2026-W22,3,HelloFresh,"Oven-Baked Bacon, White Wine & Mushroom Risotto",2,2802,668.4
2026-W22,4,HelloFresh,Rosemary Chicken on Oven-Baked Pea Risotto,2,3293,680.4
2026-W22,5,HelloFresh,Sweet Chilli Hoisin Beef Noodles,2,2970,434.5
2026-W22,6,HelloFresh,Mixed Bean Loaded Fries,2,3130,873.5
2026-W22,7,HelloFresh,"Build Your Own: Fried Chicken Bao, Wedges and Salad",2,3897,806.8
